,Company,Product,Size,Currency,Prices
919,Al Shalan ,Indian Mazza Sella Basmati Rice,10Kg,SAR,59.95
920,AL WALIMA ,Sella Basmati Rice,10Kg,SAR,64.95
921,Ali Tea ,3 In 1 Classic Ginger Tea,25 + 5 Sachets Free,SAR,33.95
922,Almarai ,Fortified Full Cream Milk Powder,1.8Kg,SAR,47.95
923,Libby's ,Tomato Ketchup Bottle,350G,SAR,6.75
924,Americana ,Breaded Chicken Burger,678G,SAR,19.95
925,Americana ,Chicken Popcorn,400G,SAR,16.5
926,Mcvitie's ,Hobnobs Biscuits,300G,SAR,8.35
927,MONTANA ,Frozen Green Peas,400G,SAR,5.75
928,MONTANA ,Frozen Okra Zero,400G,SAR,8.35
929,MONTANA ,Frozen Strawberry,1000G,SAR,11.7
930,MONTANA ,Frozen Molokheya,400G,SAR,3.0
931,Berain ,Drinking Water,200 Ml,SAR,0.5
932,Baskin Robins ,Vanilla Ice Cream,120 Ml,SAR,7.4
933,CONE ZONE ,Ice Cream Pecan Praline,120 Ml,SAR,6.25
934,Nescafe ,3 In 1 Classic Ice Instant Coffee,24 x 20G,SAR,22.95
935,DOUX ,Frozen Chicken,650G,SAR,9.95
936,Noor ,Sunflower Oil,3L,SAR,34.95
937,Kellogg's ,Coco Pops Chocos,375G,SAR,21.95
938,Nestlé ,Cocoa Puffs Chocolate Breakfast Cereal,375G,SAR,20.95
939,Nestlé ,Honey Nut Cherious Cereals,375G,SAR,18.95
940,Freshly ,Creamy Peanut Butter,18Z,SAR,11.5
941,Freshly ,Arabic Sweet Syrup,24Z,SAR,9.95
942,Hershey's ,Peanut Butter Cups,4.4Z,SAR,11.95
943,Abu Zahra ,Pure Sunflower Oil,3L,SAR,24.2
944,Freshly ,Nacho Sliced Jalapeno Peppers,16Z,SAR,12.55
945,AL KABEER ,Prawns Medium,400G,SAR,25.5
946,Freshly ,Vinegar White,16Z,SAR,3.65
947,Galaxy ,Chocolate Cake,5 x 30G,SAR,2.75
948,Freshly ,Whole Kernel Sweet Corn,185G,SAR,4.2
949,Freshly ,Yellow Mustard,9Z,SAR,5.75
950,Galaxy ,Caramel Cake,5 x 30G,SAR,2.75
951,Galaxy ,Vanilla Ice Cream,79.5G,SAR,7.5
952,Galaxy ,Smooth Milk Chocolate,40G,SAR,3.15
953,Freshly ,Tomato Sauce,425G,SAR,4.75
954,G.S. ,White Flour,2Kg,SAR,3.75
955,IGLOO ,Duet Raspberry & vanilla Ice Cream,5 x 65 Ml,SAR,6.95
956,AL AILA ,White Basmati Rice Ambar,5Kg,SAR,39.95
957,AL AILA ,White Basmati Rice,10Kg,SAR,64.95
958,Abu Khrof ,Indian White Punjabi Basmati Rice,10Kg,SAR,51.5
959,AL KABEER ,Large Prawns,400G,SAR,28.95
960,AL KABEER ,Beef Franks,454G,SAR,15.75
961,AL KABEER ,Frozen Strawberries,900G,SAR,20.8
962,AL KABEER ,Corn On The Cob,4 Count,SAR,13.85
963,AL KABEER ,Cheese Samosas,240G,SAR,11.5
964,AL KABEER ,Frozen Minced Chicken,400G,SAR,6.95
965,AL KABEER ,Frozen Green Peas,400G,SAR,4.15
966,AL KABEER ,French Fries,1Kg,SAR,9.1
967,Galaxy ,Vanilla Cake,30G,SAR,2.75
968,Goody ,Light Meat Tuna in Sunflower Oil,90G,SAR,3.5
969,Goody ,Lite Meat Tuna In Brine Water,95G,SAR,3.5
970,Golden Brown ,Brownie Cookies CHOCOLATE,225G,SAR,47.95
971,Golden Crown ,Cream Plain,95G,SAR,3.95
972,Golden Brown ,Cina Boxx,305G,SAR,45.95
973,Lipton ,Yellow label Tea Bags,25 × 2G,SAR,5.85
974,Goody ,Tidbits Pineapple,567G,SAR,6.25
975,Goody ,Sliced Pineapple,227G,SAR,4.2
976,Heinz ,Beanz Original Baked Beans In a Deliciously Tomato Sauce,415G,SAR,6.25
977,Halwani Brothers ,Top Top Sugar,5Kg,SAR,19.9
978,Goody ,Mustard,227G,SAR,2.75
979,Goody ,Red Kidney Beans,425G,SAR,4.5
980,Halwani Brothers ,Vanilla For Sweets,20G,SAR,2.65
981,Al Safi ,Apple Juice,1500 Ml,SAR,10.0
982,Al Safi ,Lemon Juice,1500 Ml,SAR,10.0
983,Al Safi ,Mixed Fruits Juice,1500 Ml,SAR,10.0
984,Al Safi ,Mango Juice,1500 Ml,SAR,10.0
985,Al Safi ,Long Life Chocolate Milk,18 x 150 Ml,SAR,14.5
986,Al Safi ,Mixed Berries Juice,1500 Ml,SAR,9.5
987,Al Safi ,Kiwi & Lime Juice,1500 Ml,SAR,7.5
988,Al Safi ,Pomegranate Juice,1500 Ml,SAR,11.0
989,Al Safi ,Orange Juice,1500 Ml,SAR,10.0
990,Al Safi ,Strawberry Juice,1500 Ml,SAR,10.0
991,Heinz ,Creamy Classic Mayonnaise,400 Ml,SAR,14.85
992,Al Safi ,Red Cocktail Juice,1500 Ml,SAR,9.5
993,Al Safi ,Orange & Carrot Juice,1500 Ml,SAR,8.5
994,Heinz ,Light Mayonnaise,400 Ml,SAR,14.85
995,Heinz ,Tomato Ketchup,910G,SAR,19.5
996,Indofood ,Lampung Chili Sauce,140 Ml,SAR,3.45
